iter	Passed	Remaining
574	19326	14284
575	19362	14252
576	19398	14220
577	19428	14184
578	19458	14148
579	19488	14112
580	19513	14072
581	19539	14033
582	19571	13998
583	19602	13963
584	19634	13928
585	19661	13890
586	19690	13853
587	19717	13815
588	19747	13779
589	19774	13741
590	19808	13708
591	19837	13671
592	19864	13633
593	19896	13599
594	19924	13561
595	19951	13524
596	19984	13490
597	20011	13452
598	20042	13417
599	20074	13383
600	20105	13347
601	20133	13311
602	20163	13275
603	20189	13236
604	20218	13200
605	20247	13164
606	20279	13129
607	20304	13090
608	20332	13054
609	20394	13039
610	20420	13000
611	20446	12962
612	20475	12926
613	20502	12889
614	20554	12867
615	20578	12828
616	20602	12788
617	20627	12750
618	20654	12713
619	20681	12675
620	20738	12656
621	20762	12617
622	20785	12578
623	20812	12540
624	20841	12504
625	20872	12469
626	20896	12431
627	20921	12392
628	20950	12357
629	20980	12321
630	21007	12284
631	21030	12245
632	21058	12209
633	21085	12172
634	21110	12134
635	21135	12096
636	21158	12057
637	21184	12020
638	21208	11981
639	21229	11941
640	21284	11920
641	21314	11885
642	21349	11853
643	21379	11818
644	21407	11782
645	21433	11745
646	21461	11709
647	21492	11675
648	21521	11639
649	21550	11603
650	21576	11567
651	21600	11529
652	21626	11491
653	21653	11455
654	21681	11420
655	21708	11383
656	21731	11345
657	21751	11305
658	21778	11269
659	21805	11233
660	21831	11196
661	21859	11160
662	21884	11123
663	21914	11089
664	21946	11055
665	21975	11020
666	22003	10985
667	22030	10949
668	22056	10912
669	22083	10876
670	22111	10841
671	22140	10806
672	22166	10770
673	22191	10733
674	22245	10710
675	22265	10671
676	22290	10634
677	22316	10598
678	22342	10562
679	22372	10528
680	22403	10494
681	22430	10458
682	22457	10423
683	22486	10388
684	22529	10360
685	22554	10323
686	22580	10287
687	22603	10250
688	22631	10215
689	22656	10179
690	22684	10143
691	22704	10105
692	22732	10070
693	22759	10035
694	22785	9999
695	22814	9964
696	22842	9930
697	22871	9895
698	22898	9860
699	22933	9828
700	22961	9793
701	22994	9761
702	23021	9725
703	23048	9690
704	23073	9654
705	23097	9618
706	23123	9583
707	23148	9547
708	23175	9512
709	23205	9478
710	23237	9445
711	23267	9411
712	23293	9376
713	23317	9340
714	23342	9304
715	23371	9270
716	23395	9234
717	23420	9198
718	23450	9164
719	23475	9129
720	23499	9093
721	23526	9058
722	23554	9024
723	23580	8989
724	23606	8954
725	23633	8919
726	23660	8884
727	23687	8850
728	23712	8815
729	23737	8779
730	23763	8744
731	23788	8709
732	23812	8673
733	23840	8639
734	23875	8608
735	23905	8574
736	23936	8541
737	23965	8508
738	23993	8474
739	24019	8439
740	24042	8403
741	24063	8367
742	24120	8343
743	24145	8307
744	24168	8272
745	24198	8239
746	24225	8204
747	24250	8170
748	24277	8135
749	24305	8101
750	24333	8067
751	24366	8035
752	24401	8004
753	24430	7970
754	24461	7937
755	24494	7905
756	24523	7872
757	24555	7839
758	24582	7805
759	24614	7772
760	24646	7740
761	24676	7707
762	24702	7673
763	24728	7638
764	24752	7603
765	24777	7568
766	24800	7534
767	24826	7499
768	24849	7464
769	24875	7430
770	24902	7396
771	24931	7363
772	24957	7329
773	24985	7295
774	25014	7262
775	25041	7228
776	25069	7194
777	25096	7161
778	25123	7127
779	25149	7093
780	25191	7063
781	25214	7028
782	25242	6995
783	25270	6962
784	25295	6928
785	25323	6894
786	25345	6859
787	25368	6825
788	25394	6791
789	25420	6757
790	25445	6723
791	25472	6689
792	25495	6655
793	25530	6623
794	25554	6589
795	25579	6555
796	25607	6522
797	25662	6495
798	25685	6461
799	25712	6428
800	25742	6395
801	25768	6361
802	25789	6326
803	25815	6293
804	25841	6259
805	25868	6226
806	25892	6192
807	25920	6159
808	25942	6124
809	25967	6091
810	25994	6057
811	26025	6025
812	26047	5991
813	26067	5956
814	26093	5923
815	26122	5890
816	26153	5858
817	26186	5826
818	26213	5793
819	26240	5760
820	26261	5725
821	26288	5692
822	26311	5658
823	26338	5625
824	26364	5592
825	26385	5558
826	26409	5524
827	26434	5491
828	26458	5457
829	26484	5424
830	26507	5390
831	26534	5357
832	26564	5325
833	26588	5292
834	26614	5259
835	26644	5226
836	26669	5193
837	26698	5161
838	26724	5128
839	26753	5095
840	26782	5063
841	26810	5030
842	26837	4998
843	26868	4966
844	26895	4933
845	26921	4900
846	26946	4867
847	26971	4834
848	26999	4801
849	27063	4775
850	27089	4743
851	27122	4711
852	27160	4680
